Election,Department,Year,Candidate Name,Party,First Round Total Votes,1st Round Percentage of votes,2nd Round Total Votes,2nd Round Percentage of votes,,
Elections to the Chamber of Deputies,PETIT-TROU-DE-NIPPES - PLAISANCE DU SUD,FEBRUARY AND APRIL 2006,Edner Merizier,Alyans,551,6.2,,,,
Elections to the Chamber of Deputies,PETIT-TROU-DE-NIPPES - PLAISANCE DU SUD,FEBRUARY AND APRIL 2006,Ronald Dabrezil,Mochrenha,326,3.7,,,,
Elections to the Chamber of Deputies,PETIT-TROU-DE-NIPPES - PLAISANCE DU SUD,FEBRUARY AND APRIL 2006,Rénold Olivier,MNP,62,0.7,,,,
Elections to the Chamber of Deputies,PETIT-TROU-DE-NIPPES - PLAISANCE DU SUD,FEBRUARY AND APRIL 2006,,,,,,,,
Elections to the Chamber of Deputies,DEPARTMENT OF NORD,FEBRUARY AND APRIL 2006,,,,,,,,
Elections to the Chamber of Deputies,DEPARTMENT OF NORD,FEBRUARY AND APRIL 2006,,,,,,,,
Elections to the Chamber of Deputies,BORGNE - PORT MARGOT,FEBRUARY AND APRIL 2006,Pierre Richard JADOTTE,Lespwa,"6,214",37,,,,
Elections to the Chamber of Deputies,BORGNE - PORT MARGOT,FEBRUARY AND APRIL 2006,Dufond D Saint Louis,MRN,"3,498",20.8,,,,
Elections to the Chamber of Deputies,BORGNE - PORT MARGOT,FEBRUARY AND APRIL 2006,Tholeme Joseph,Alyans,"2,451",14.6,,,,
Elections to the Chamber of Deputies,BORGNE - PORT MARGOT,FEBRUARY AND APRIL 2006,Faniel Dorlean,OPL,"1,610",9.6,,,,
Elections to the Chamber of Deputies,BORGNE - PORT MARGOT,FEBRUARY AND APRIL 2006,Fritz Pierre,RDNP,806,4.8,,,,
Elections to the Chamber of Deputies,BORGNE - PORT MARGOT,FEBRUARY AND APRIL 2006,Jean Louis Innocent,Mochrenha,432,2.6,,,,
Elections to the Chamber of Deputies,BORGNE - PORT MARGOT,FEBRUARY AND APRIL 2006,David A Olivier,MPH,316,1.9,,,,
Elections to the Chamber of Deputies,BORGNE - PORT MARGOT,FEBRUARY AND APRIL 2006,Vickson Severe,Modereh,302,1.8,,,,
Elections to the Chamber of Deputies,BORGNE - PORT MARGOT,FEBRUARY AND APRIL 2006,Rony Pierre Paul,Tet Ansanm,186,1.1,,,,
Elections to the Chamber of Deputies,BORGNE - PORT MARGOT,FEBRUARY AND APRIL 2006,Arold Carobert Prevalus,JPD,128,0.8,,,,
Elections to the Chamber of Deputies,BORGNE - PORT MARGOT,FEBRUARY AND APRIL 2006,,,,,,,,
Elections to the Chamber of Deputies,CAP-HAITIEN,FEBRUARY AND APRIL 2006,Fred Damas,Lespwa,"15,099",30.1,"7,167",48.1,,
Elections to the Chamber of Deputies,CAP-HAITIEN,FEBRUARY AND APRIL 2006,Eddy Jean PIERRE,MRN,"6,722",13.4,"7,742",51.9,,
Elections to the Chamber of Deputies,CAP-HAITIEN,FEBRUARY AND APRIL 2006,Osé Fils-Aimé,Lavalas,"3,926",7.8,,,,
Elections to the Chamber of Deputies,CAP-HAITIEN,FEBRUARY AND APRIL 2006,Evans Bastien,Alyans,"3,670",7.3,,,,
Elections to the Chamber of Deputies,CAP-HAITIEN,FEBRUARY AND APRIL 2006,Agousta Benoit,Mochrenha,"3,451",6.9,,,,
Elections to the Chamber of Deputies,CAP-HAITIEN,FEBRUARY AND APRIL 2006,F Manfred Antoine,Fusion,"2,991",6,,,,
Elections to the Chamber of Deputies,CAP-HAITIEN,FEBRUARY AND APRIL 2006,Bedesir Telfort,MPH,"1,899",3.8,,,,
Elections to the Chamber of Deputies,CAP-HAITIEN,FEBRUARY AND APRIL 2006,Pierre Baptiste,Modereh,"1,846",3.7,,,,
Elections to the Chamber of Deputies,CAP-HAITIEN,FEBRUARY AND APRIL 2006,Guito Laguerre,OPL,"1,735",3.5,,,,
Elections to the Chamber of Deputies,CAP-HAITIEN,FEBRUARY AND APRIL 2006,Jacques P François,Tet Ansanm,"1,597",3.2,,,,
Elections to the Chamber of Deputies,CAP-HAITIEN,FEBRUARY AND APRIL 2006,Catelene Joseph,MNP,"1,565",3.1,,,,
Elections to the Chamber of Deputies,CAP-HAITIEN,FEBRUARY AND APRIL 2006,Wales Gauthier,MUP,"1,419",2.8,,,,
Elections to the Chamber of Deputies,CAP-HAITIEN,FEBRUARY AND APRIL 2006,Léonel Joseph,PNDPH,738,1.5,,,,
Elections to the Chamber of Deputies,CAP-HAITIEN,FEBRUARY AND APRIL 2006,Brigitte Benjamin,JPD,700,1.4,,,,
Elections to the Chamber of Deputies,CAP-HAITIEN,FEBRUARY AND APRIL 2006,,,,,,,,
Elections to the Chamber of Deputies,GRANDE RIVIERE DU NORD - BAHON,FEBRUARY AND APRIL 2006,Clébert DORVIL,OPL,"3,927",32.6,"5,269",60.5,,
Elections to the Chamber of Deputies,GRANDE RIVIERE DU NORD - BAHON,FEBRUARY AND APRIL 2006,Ocinjac Bejamin,Alyans,"2,670",22.2,"3,446",39.5,,
Elections to the Chamber of Deputies,GRANDE RIVIERE DU NORD - BAHON,FEBRUARY AND APRIL 2006,Joseph Connell Saint-Vil,GFCD,"2,181",18.1,,,,
Elections to the Chamber of Deputies,GRANDE RIVIERE DU NORD - BAHON,FEBRUARY AND APRIL 2006,Weslly Deshommes,Lavalas,"1,007",8.4,,,,
Elections to the Chamber of Deputies,GRANDE RIVIERE DU NORD - BAHON,FEBRUARY AND APRIL 2006,Jn Hervé Jasmin,Unité,918,7.6,,,,
Elections to the Chamber of Deputies,GRANDE RIVIERE DU NORD - BAHON,FEBRUARY AND APRIL 2006,Andre Eugene,Tet Ansanm,476,4,,,,
Elections to the Chamber of Deputies,GRANDE RIVIERE DU NORD - BAHON,FEBRUARY AND APRIL 2006,,,,,,,,
Elections to the Chamber of Deputies,L'ACUL DU NORD,FEBRUARY AND APRIL 2006,Jobes J Michel,OPL,"4,661",32.4,"6,671",42.4,,
Elections to the Chamber of Deputies,L'ACUL DU NORD,FEBRUARY AND APRIL 2006,Lorius JOSEPH,JPD,"3,418",23.8,"9,057",57.6,,
Elections to the Chamber of Deputies,L'ACUL DU NORD,FEBRUARY AND APRIL 2006,Rodney Charles,RDNP,"2,750",19.1,,,,
Elections to the Chamber of Deputies,L'ACUL DU NORD,FEBRUARY AND APRIL 2006,Cineus Floreal,Alyans,997,6.9,,,,
Elections to the Chamber of Deputies,L'ACUL DU NORD,FEBRUARY AND APRIL 2006,Raoul Leconte Pierre,GFCD,891,6.2,,,,
Elections to the Chamber of Deputies,L'ACUL DU NORD,FEBRUARY AND APRIL 2006,Emmanuel Jean Baptiste,Lavalas,868,6,,,,
Elections to the Chamber of Deputies,L'ACUL DU NORD,FEBRUARY AND APRIL 2006,Gedeon Gedeus,Modereh,197,1.4,,,,
Elections to the Chamber of Deputies,L'ACUL DU NORD,FEBRUARY AND APRIL 2006,Smith Gilbert Gauthier,MPH,128,0.9,,,,
Elections to the Chamber of Deputies,L'ACUL DU NORD,FEBRUARY AND APRIL 2006,,,,,,,,
Elections to the Chamber of Deputies,LIMBE - BAS LIMBE,FEBRUARY AND APRIL 2006,Philemon Jean,Mochrenha,"2,541",12.7,"4,429",39.9,,
Elections to the Chamber of Deputies,LIMBE - BAS LIMBE,FEBRUARY AND APRIL 2006,Felius LUBIN,Unité,"2,325",11.6,"6,680",60.1,,
Elections to the Chamber of Deputies,LIMBE - BAS LIMBE,FEBRUARY AND APRIL 2006,Ervé Ulysse,Fusion,"1,958",9.8,,,,
Elections to the Chamber of Deputies,LIMBE - BAS LIMBE,FEBRUARY AND APRIL 2006,Jean Osner Petit Papa,JPD,"1,878",9.4,,,,
Elections to the Chamber of Deputies,LIMBE - BAS LIMBE,FEBRUARY AND APRIL 2006,Lucien Louis,Lespwa,"1,851",9.2,,,,
Elections to the Chamber of Deputies,LIMBE - BAS LIMBE,FEBRUARY AND APRIL 2006,Dumesle Codio,OPL,"1,640",8.2,,,,
Elections to the Chamber of Deputies,LIMBE - BAS LIMBE,FEBRUARY AND APRIL 2006,Jude L Loriston,Konba,"1,481",7.4,,,,
Elections to the Chamber of Deputies,LIMBE - BAS LIMBE,FEBRUARY AND APRIL 2006,Jean Roody Pierre Paul,Lavalas,"1,427",7.1,,,,
Elections to the Chamber of Deputies,LIMBE - BAS LIMBE,FEBRUARY AND APRIL 2006,William Noel,FRN,931,4.6,,,,
Elections to the Chamber of Deputies,LIMBE - BAS LIMBE,FEBRUARY AND APRIL 2006,Pierre Darwins Charles,Alyans,931,4.6,,,,
Elections to the Chamber of Deputies,LIMBE - BAS LIMBE,FEBRUARY AND APRIL 2006,Patrick Ogena Eugene,RDNP,848,4.2,,,,
Elections to the Chamber of Deputies,LIMBE - BAS LIMBE,FEBRUARY AND APRIL 2006,Ronald Cadet,Tet Ansanm,748,3.7,,,,
Elections to the Chamber of Deputies,LIMBE - BAS LIMBE,FEBRUARY AND APRIL 2006,Moise Cadet,Modereh,439,2.2,,,,
Elections to the Chamber of Deputies,LIMBE - BAS LIMBE,FEBRUARY AND APRIL 2006,Jean Rhub Almetus,MPH,228,1.1,,,,
Elections to the Chamber of Deputies,LIMBE - BAS LIMBE,FEBRUARY AND APRIL 2006,,,,,,,,
Elections to the Chamber of Deputies,LIMONADE - QUARTIER MORIN,FEBRUARY AND APRIL 2006,Gluck Theophile,MRN,"5,155",38.6,"4,734",48,,
Elections to the Chamber of Deputies,LIMONADE - QUARTIER MORIN,FEBRUARY AND APRIL 2006,Hugue CELESTIN,Lespwa,"4,579",34.3,"5,131",52,,
Elections to the Chamber of Deputies,LIMONADE - QUARTIER MORIN,FEBRUARY AND APRIL 2006,Calourdes Phenelus,Alyans,728,5.5,,,,
Elections to the Chamber of Deputies,LIMONADE - QUARTIER MORIN,FEBRUARY AND APRIL 2006,Luc Killick Manigat,Modereh,539,4,,,,
Elections to the Chamber of Deputies,LIMONADE - QUARTIER MORIN,FEBRUARY AND APRIL 2006,Ramses Jean,OPL,486,3.6,,,,
Elections to the Chamber of Deputies,LIMONADE - QUARTIER MORIN,FEBRUARY AND APRIL 2006,Antonio Etienne,Fusion,384,2.9,,,,
Elections to the Chamber of Deputies,LIMONADE - QUARTIER MORIN,FEBRUARY AND APRIL 2006,Hubbert Michel,MPH,320,2.4,,,,
Elections to the Chamber of Deputies,LIMONADE - QUARTIER MORIN,FEBRUARY AND APRIL 2006,Joseph Calixte,RDNP,239,1.8,,,,
Elections to the Chamber of Deputies,LIMONADE - QUARTIER MORIN,FEBRUARY AND APRIL 2006,Daniel R Jean Baptiste,Reparen,221,1.7,,,,
Elections to the Chamber of Deputies,LIMONADE - QUARTIER MORIN,FEBRUARY AND APRIL 2006,Wismique Jean François,MUP,179,1.3,,,,
Elections to the Chamber of Deputies,LIMONADE - QUARTIER MORIN,FEBRUARY AND APRIL 2006,,,,,,,,
Elections to the Chamber of Deputies,PILATE,FEBRUARY AND APRIL 2006,Georges ESPADY,Lespwa,"2,996",33.2,"4,328",55.6,,
Elections to the Chamber of Deputies,PILATE,FEBRUARY AND APRIL 2006,Worms Perilus,OPL,"1,284",14.2,"3,461",44.4,,
Elections to the Chamber of Deputies,PILATE,FEBRUARY AND APRIL 2006,Lorcius Fleurimond,Lavalas,"1,113",12.3,,,,
Elections to the Chamber of Deputies,PILATE,FEBRUARY AND APRIL 2006,Michelin Saintilus,Konba,931,10.3,,,,
Elections to the Chamber of Deputies,PILATE,FEBRUARY AND APRIL 2006,Yvon Marcelin,Alyans,624,6.9,,,,
Elections to the Chamber of Deputies,PILATE,FEBRUARY AND APRIL 2006,Seradieu Duverge,Tet Ansanm,553,6.1,,,,
Elections to the Chamber of Deputies,PILATE,FEBRUARY AND APRIL 2006,Geffrard Edouard,Fusion,504,5.6,,,,
Elections to the Chamber of Deputies,PILATE,FEBRUARY AND APRIL 2006,Celony Silfin,MPH,255,2.8,,,,
Elections to the Chamber of Deputies,PILATE,FEBRUARY AND APRIL 2006,Japhet Saintilus,RDNP,222,2.5,,,,
Elections to the Chamber of Deputies,PILATE,FEBRUARY AND APRIL 2006,Onlonia Noel,Reparen,161,1.8,,,,
Elections to the Chamber of Deputies,PILATE,FEBRUARY AND APRIL 2006,,,,,,,,
Elections to the Chamber of Deputies,PLAINE DU NORD - MILOT,FEBRUARY AND APRIL 2006,Claude Lesly PIERRE,Alyans,"4,912",32.2,"10,082",57.4,,
Elections to the Chamber of Deputies,PLAINE DU NORD - MILOT,FEBRUARY AND APRIL 2006,Marie Jossie Etienne,PLH,"2,685",17.6,"7,472",42.6,,
Elections to the Chamber of Deputies,PLAINE DU NORD - MILOT,FEBRUARY AND APRIL 2006,Dikel Delvariste,Fusion,"2,568",16.8,,,,
Elections to the Chamber of Deputies,PLAINE DU NORD - MILOT,FEBRUARY AND APRIL 2006,Roland Toussaint,Lespwa,"1,526",10,,,,
Elections to the Chamber of Deputies,PLAINE DU NORD - MILOT,FEBRUARY AND APRIL 2006,Annot Pierre Louis,Lavalas,"1,122",7.4,,,,
Elections to the Chamber of Deputies,PLAINE DU NORD - MILOT,FEBRUARY AND APRIL 2006,Arold Samson,RDNP,532,3.5,,,,
Elections to the Chamber of Deputies,PLAINE DU NORD - MILOT,FEBRUARY AND APRIL 2006,David Mondesir,Frontciph,467,3.1,,,,
Elections to the Chamber of Deputies,PLAINE DU NORD - MILOT,FEBRUARY AND APRIL 2006,Jocelyn Gedeon,OPL,404,2.7,,,,
Elections to the Chamber of Deputies,PLAINE DU NORD - MILOT,FEBRUARY AND APRIL 2006,Jacquelin Monpremier,Mochrenha,340,2.2,,,,
Elections to the Chamber of Deputies,PLAINE DU NORD - MILOT,FEBRUARY AND APRIL 2006,Claude Eugene,Tet Ansanm,199,1.3,,,,
Elections to the Chamber of Deputies,PLAINE DU NORD - MILOT,FEBRUARY AND APRIL 2006,,,,,,,,
Elections to the Chamber of Deputies,PLAISANCE,FEBRUARY AND APRIL 2006,Alcide AUDNE,Lespwa,"3,820",35.1,"4,451",50.6,,
Elections to the Chamber of Deputies,PLAISANCE,FEBRUARY AND APRIL 2006,Lemoine Bonneau,OPL,"2,336",21.5,"4,348",49.4,,
Elections to the Chamber of Deputies,PLAISANCE,FEBRUARY AND APRIL 2006,Rénaud Jean Baptiste,Mochrenha,"1,588",14.6,,,,
Elections to the Chamber of Deputies,PLAISANCE,FEBRUARY AND APRIL 2006,Kerby Joseph,Tet Ansanm,600,5.5,,,,
Elections to the Chamber of Deputies,PLAISANCE,FEBRUARY AND APRIL 2006,Henry Pierre,,564,5.2,,,,
Elections to the Chamber of Deputies,PLAISANCE,FEBRUARY AND APRIL 2006,Marie Mana Jolissaint,Lavalas,497,4.6,,,,
Elections to the Chamber of Deputies,PLAISANCE,FEBRUARY AND APRIL 2006,Guy Fils-Aimé,Union,486,4.5,,,,
Elections to the Chamber of Deputies,PLAISANCE,FEBRUARY AND APRIL 2006,Maximin Pierre,RDNP,220,2,,,,
Elections to the Chamber of Deputies,PLAISANCE,FEBRUARY AND APRIL 2006,Eveno Louis,PNDPH,213,2,,,,
Elections to the Chamber of Deputies,PLAISANCE,FEBRUARY AND APRIL 2006,Jean Andre Saint Louis,Unité,147,1.4,,,,
Elections to the Chamber of Deputies,PLAISANCE,FEBRUARY AND APRIL 2006,,,,,,,,
Elections to the Chamber of Deputies,RANQUITE - PIGNON - VICTOIRE,FEBRUARY AND APRIL 2006,Hidson NELSON,Alyans,"3,521",28.2,"5,290",50.6,,
Elections to the Chamber of Deputies,RANQUITE - PIGNON - VICTOIRE,FEBRUARY AND APRIL 2006,Ramy Dorvil,Adebha,"2,754",22.1,"5,167",49.4,,
Elections to the Chamber of Deputies,RANQUITE - PIGNON - VICTOIRE,FEBRUARY AND APRIL 2006,Appolos Marcelin,Mochrenha,"1,195",9.6,,,,
Elections to the Chamber of Deputies,RANQUITE - PIGNON - VICTOIRE,FEBRUARY AND APRIL 2006,Belande Delince,Konba,"1,082",8.7,,,,
Elections to the Chamber of Deputies,RANQUITE - PIGNON - VICTOIRE,FEBRUARY AND APRIL 2006,Edlin Backer,Lespwa,"1,033",8.3,,,,
Elections to the Chamber of Deputies,RANQUITE - PIGNON - VICTOIRE,FEBRUARY AND APRIL 2006,Gabriel Mompremier,Fusion,900,7.2,,,,
Elections to the Chamber of Deputies,RANQUITE - PIGNON - VICTOIRE,FEBRUARY AND APRIL 2006,Sharus V Sam Azemar,MIRN,822,6.6,,,,
Elections to the Chamber of Deputies,RANQUITE - PIGNON - VICTOIRE,FEBRUARY AND APRIL 2006,Lucène Noel,Tet Ansanm,181,1.5,,,,
Elections to the Chamber of Deputies,RANQUITE - PIGNON - VICTOIRE,FEBRUARY AND APRIL 2006,,,,,,,,
Elections to the Chamber of Deputies,SAINT RAPHAEL - DONDON,FEBRUARY AND APRIL 2006,Bener SISSOIR,MPH,"3,444",25,"4,724",65.9,,
Elections to the Chamber of Deputies,SAINT RAPHAEL - DONDON,FEBRUARY AND APRIL 2006,Wilgy Pierre,Lespwa,"2,072",15.1,"2,441",34.1,,
Elections to the Chamber of Deputies,SAINT RAPHAEL - DONDON,FEBRUARY AND APRIL 2006,Pierre Antoine Chery,Adebha,"1,699",12.4,,,,
Elections to the Chamber of Deputies,SAINT RAPHAEL - DONDON,FEBRUARY AND APRIL 2006,Hermogene Daniel,Fusion,"1,502",10.9,,,,
Elections to the Chamber of Deputies,SAINT RAPHAEL - DONDON,FEBRUARY AND APRIL 2006,Sonthonax Robillard,OPL,"1,479",10.8,,,,
Elections to the Chamber of Deputies,SAINT RAPHAEL - DONDON,FEBRUARY AND APRIL 2006,Harrold Chery,Modereh,"1,460",10.6,,,,
Elections to the Chamber of Deputies,SAINT RAPHAEL - DONDON,FEBRUARY AND APRIL 2006,Bernard Joasil,Konba,523,3.8,,,,
Elections to the Chamber of Deputies,SAINT RAPHAEL - DONDON,FEBRUARY AND APRIL 2006,Josué Jean,Alyans,507,3.7,,,,
Elections to the Chamber of Deputies,SAINT RAPHAEL - DONDON,FEBRUARY AND APRIL 2006,Raymond Bell,JPD,236,1.7,,,,
Elections to the Chamber of Deputies,SAINT RAPHAEL - DONDON,FEBRUARY AND APRIL 2006,,,,,,,,
Elections to the Chamber of Deputies,DEPARTMENT NORD EST,FEBRUARY AND APRIL 2006,,,,,,,,
Elections to the Chamber of Deputies,DEPARTMENT NORD EST,FEBRUARY AND APRIL 2006,,,,,,,,
Elections to the Chamber of Deputies,FORT-LIBERTE - FERRIER - PERCHES,FEBRUARY AND APRIL 2006,Miolin Charles PIERRE,Lespwa,"3,754",25.5,"5,448",54.6,,
Elections to the Chamber of Deputies,FORT-LIBERTE - FERRIER - PERCHES,FEBRUARY AND APRIL 2006,Kenty Moreau,Alyans,"2,296",15.6,"4,532",45.4,,
Elections to the Chamber of Deputies,FORT-LIBERTE - FERRIER - PERCHES,FEBRUARY AND APRIL 2006,Gerald Jean,Fusion,"2,182",14.8,,,,
Elections to the Chamber of Deputies,FORT-LIBERTE - FERRIER - PERCHES,FEBRUARY AND APRIL 2006,Bilgot Colas,OPL,"2,159",14.6,,,,
Elections to the Chamber of Deputies,FORT-LIBERTE - FERRIER - PERCHES,FEBRUARY AND APRIL 2006,Renaud Honore,Union,"1,299",8.8,,,,
Elections to the Chamber of Deputies,FORT-LIBERTE - FERRIER - PERCHES,FEBRUARY AND APRIL 2006,Odin Saint-Ruste,Adebha,"1,037",7,,,,
Elections to the Chamber of Deputies,FORT-LIBERTE - FERRIER - PERCHES,FEBRUARY AND APRIL 2006,Jacques E Davilmar,Mochrena,547,3.7,,,,
Elections to the Chamber of Deputies,FORT-LIBERTE - FERRIER - PERCHES,FEBRUARY AND APRIL 2006,Rony Paul,Konba,302,2.1,,,,
Elections to the Chamber of Deputies,FORT-LIBERTE - FERRIER - PERCHES,FEBRUARY AND APRIL 2006,Wilkice Pierre Louis,MPH,234,1.6,,,,
Elections to the Chamber of Deputies,FORT-LIBERTE - FERRIER - PERCHES,FEBRUARY AND APRIL 2006,Lucius Jean Louis,Tet Ansanm,220,1.5,,,,
Elections to the Chamber of Deputies,FORT-LIBERTE - FERRIER - PERCHES,FEBRUARY AND APRIL 2006,,,,,,,,
Elections to the Chamber of Deputies,MONT-ORGANISE - CAPOTILLE,FEBRUARY AND APRIL 2006,Ronald LARECHE,Fusion,"3,344",42.1,"4,213",72.2,,
Elections to the Chamber of Deputies,MONT-ORGANISE - CAPOTILLE,FEBRUARY AND APRIL 2006,Absalon Antoine,Alyans,"1,579",19.9,"1,620",27.8,,
Elections to the Chamber of Deputies,MONT-ORGANISE - CAPOTILLE,FEBRUARY AND APRIL 2006,Corinthe Augustin,OPL,992,12.5,,,,
Elections to the Chamber of Deputies,MONT-ORGANISE - CAPOTILLE,FEBRUARY AND APRIL 2006,Jean Elie,FRN,572,7.2,,,,
Elections to the Chamber of Deputies,MONT-ORGANISE - CAPOTILLE,FEBRUARY AND APRIL 2006,Verdieu Bien-Aime,Konba,438,5.5,,,,
Elections to the Chamber of Deputies,MONT-ORGANISE - CAPOTILLE,FEBRUARY AND APRIL 2006,Saul Eugene,RDNP,232,2.9,,,,
Elections to the Chamber of Deputies,MONT-ORGANISE - CAPOTILLE,FEBRUARY AND APRIL 2006,Joanis Dezamour,Frontciph,214,2.7,,,,
Elections to the Chamber of Deputies,MONT-ORGANISE - CAPOTILLE,FEBRUARY AND APRIL 2006,,,,,,,,
Elections to the Chamber of Deputies,OUANAMINTHE,FEBRUARY AND APRIL 2006,Joseph SAINTILMA,Fusion,"7,694",45.1,"9,077",76.5,,
Elections to the Chamber of Deputies,OUANAMINTHE,FEBRUARY AND APRIL 2006,Lukcé Joseph,Alyans,"2,082",12.2,"2,780",23.5,,
Elections to the Chamber of Deputies,OUANAMINTHE,FEBRUARY AND APRIL 2006,Lapierre Auguste,Lavalas,"1,947",11.4,,,,
Elections to the Chamber of Deputies,OUANAMINTHE,FEBRUARY AND APRIL 2006,Hebderson Pierre,Konba,"1,684",9.9,,,,
Elections to the Chamber of Deputies,OUANAMINTHE,FEBRUARY AND APRIL 2006,Tany Etizard,OPL,"1,358",8,,,,
Elections to the Chamber of Deputies,OUANAMINTHE,FEBRUARY AND APRIL 2006,Michel-Ange Patrice,Mochrena,533,3.1,,,,
Elections to the Chamber of Deputies,OUANAMINTHE,FEBRUARY AND APRIL 2006,Guimpsly Joseph,Adebha,484,2.8,,,,
Elections to the Chamber of Deputies,OUANAMINTHE,FEBRUARY AND APRIL 2006,Samuel Pierre,Tet Ansanm,257,1.5,,,,
Elections to the Chamber of Deputies,OUANAMINTHE,FEBRUARY AND APRIL 2006,Codrus Manigat,RDNP,216,1.3,,,,
Elections to the Chamber of Deputies,OUANAMINTHE,FEBRUARY AND APRIL 2006,,,,,,,,
Elections to the Chamber of Deputies,SAINTE SUZANNE,FEBRUARY AND APRIL 2006,Pierrogene Davilmar,Lespwa,"1,726",27.6,,,,
Elections to the Chamber of Deputies,SAINTE SUZANNE,FEBRUARY AND APRIL 2006,Sadrac Pierre,Lavalas,"1,160",18.5,,,,
Elections to the Chamber of Deputies,SAINTE SUZANNE,FEBRUARY AND APRIL 2006,Milius Pierre,Fusion,"1,124",18,,,,
Elections to the Chamber of Deputies,SAINTE SUZANNE,FEBRUARY AND APRIL 2006,Parvilus Philippe,MPH,904,14.4,,,,
Elections to the Chamber of Deputies,SAINTE SUZANNE,FEBRUARY AND APRIL 2006,Winel Jean Francois,Alyans,453,7.2,,,,
Elections to the Chamber of Deputies,SAINTE SUZANNE,FEBRUARY AND APRIL 2006,Milien Soly,Pont,340,5.4,,,,
Elections to the Chamber of Deputies,SAINTE SUZANNE,FEBRUARY AND APRIL 2006,,,,,,,,
Elections to the Chamber of Deputies,TERRIER ROUGE,FEBRUARY AND APRIL 2006,Enos PIERRE,Alyans,"1,777",24.3,"5,228",62.2,,
Elections to the Chamber of Deputies,TERRIER ROUGE,FEBRUARY AND APRIL 2006,Arincks Jean Pierre,Konba,"1,567",21.5,"3,178",37.8,,
Elections to the Chamber of Deputies,TERRIER ROUGE,FEBRUARY AND APRIL 2006,Frantz Jean Francois,MPH,954,13.1,,,,
Elections to the Chamber of Deputies,TERRIER ROUGE,FEBRUARY AND APRIL 2006,Robenise J Robert,Lespwa,920,12.6,,,,
Elections to the Chamber of Deputies,TERRIER ROUGE,FEBRUARY AND APRIL 2006,Claudy Angrand,OPL,691,9.5,,,,
Elections to the Chamber of Deputies,TERRIER ROUGE,FEBRUARY AND APRIL 2006,Gerald Pierre,Pont,637,8.7,,,,
Elections to the Chamber of Deputies,TERRIER ROUGE,FEBRUARY AND APRIL 2006,Estève Riviere,Mochrena,195,2.7,,,,
Elections to the Chamber of Deputies,TERRIER ROUGE,FEBRUARY AND APRIL 2006,Rolin Pierre Louis,MIRN,184,2.5,,,,
Elections to the Chamber of Deputies,TERRIER ROUGE,FEBRUARY AND APRIL 2006,Ronald Th Riviere,JPD,100,1.4,,,,
Elections to the Chamber of Deputies,TERRIER ROUGE,FEBRUARY AND APRIL 2006,Abner Fonrose,Tet Ansanm,75,1,,,,
Elections to the Chamber of Deputies,TERRIER ROUGE,FEBRUARY AND APRIL 2006,,,,,,,,
Elections to the Chamber of Deputies,TROU DU NORD - CARACOL,FEBRUARY AND APRIL 2006,Donal DORSAINVIL,Fusion,"3,114",24.3,"5,716",59.1,,
Elections to the Chamber of Deputies,TROU DU NORD - CARACOL,FEBRUARY AND APRIL 2006,Fritz Gérald Rozefort,Pont,"2,134",16.7,,,,
Elections to the Chamber of Deputies,TROU DU NORD - CARACOL,FEBRUARY AND APRIL 2006,Wanique Pierre,Alyans,"2,099",16.4,"3,954",40.9,,
Elections to the Chamber of Deputies,TROU DU NORD - CARACOL,FEBRUARY AND APRIL 2006,Jean Claude Francois,Adebha,"1,289",10.1,,,,
Elections to the Chamber of Deputies,TROU DU NORD - CARACOL,FEBRUARY AND APRIL 2006,Rose Marla Seide,Lavalas,"1,241",9.7,,,,
Elections to the Chamber of Deputies,TROU DU NORD - CARACOL,FEBRUARY AND APRIL 2006,Bellevue Louis,OPL,"1,108",8.7,,,,
Elections to the Chamber of Deputies,TROU DU NORD - CARACOL,FEBRUARY AND APRIL 2006,Etienne Mallew,JPD,818,6.4,,,,
Elections to the Chamber of Deputies,TROU DU NORD - CARACOL,FEBRUARY AND APRIL 2006,Raynold Pierre,Lespwa,330,2.6,,,,
Elections to the Chamber of Deputies,TROU DU NORD - CARACOL,FEBRUARY AND APRIL 2006,Girard R Jean Francois,RDNP,149,1.2,,,,
Elections to the Chamber of Deputies,TROU DU NORD - CARACOL,FEBRUARY AND APRIL 2006,,,,,,,,
Elections to the Chamber of Deputies,VALLIERES - CARICE - MOMBIN CROCHU,FEBRUARY AND APRIL 2006,Jn Berthold BASTIEN,Fusion,"3,460",31.8,"5,634",63.1,,
Elections to the Chamber of Deputies,VALLIERES - CARICE - MOMBIN CROCHU,FEBRUARY AND APRIL 2006,Audate Antoine,Konba,"1,904",17.5,"3,291",36.9,,
Elections to the Chamber of Deputies,VALLIERES - CARICE - MOMBIN CROCHU,FEBRUARY AND APRIL 2006,Antoine Alexis,Mochrena,"1,755",16.1,,,,
Elections to the Chamber of Deputies,VALLIERES - CARICE - MOMBIN CROCHU,FEBRUARY AND APRIL 2006,Joseph Celigny Celicourt,MPH,"1,119",10.3,,,,
Elections to the Chamber of Deputies,VALLIERES - CARICE - MOMBIN CROCHU,FEBRUARY AND APRIL 2006,Accilus Philosias,Alyans,"1,008",9.3,,,,
Elections to the Chamber of Deputies,VALLIERES - CARICE - MOMBIN CROCHU,FEBRUARY AND APRIL 2006,Rochenel Pierre,Tet Ansanm,837,7.7,,,,
